"";"X.NAME_1.CasaManco";"X.NAME_10.TrattoriaPennestri";"X.NAME_100.CharroCafe";"X.NAME_101.CimagliaSilvana";"X.NAME_102.Yoshi";"X.NAME_103.MoonlightCafe";"X.NAME_104.PURO.StreetFoodFromPuglia";"X.NAME_105.DaSeverino";"X.NAME_106.IlSemeelaFoglia";"X.NAME_107.Farinando";"X.NAME_108.CerteNottiaTestaccio";"X.NAME_109.VeganStore";"X.NAME_11.SushiDoku";"X.NAME_110.BurBaCa";"X.NAME_111.PizzeriaViaAmerigoVespucciRoma";"X.NAME_112.CapitanConoGelateria";"X.NAME_113.YourSushi";"X.NAME_114.BurgerKing";"X.NAME_115.NorcineriaSergio";"X.NAME_116.ConteStaccio";"X.NAME_117.BebopMusicClub";"X.NAME_118.LosCabosAPSLasCalaveras";"X.NAME_119.Testaccino";"X.NAME_12.SakanaSushi";"X.NAME_120.OsteriaPizzeria";"X.NAME_121.FoodieFreshmarket";"X.NAME_122.Itreporcellinisnc";"X.NAME_123.LaFarandula";"X.NAME_124.Companatico";"X.NAME_125.Spago";"X.NAME_126.Bucolica";"X.NAME_127.LaCiriolettaIgnorante";"X.NAME_128.SantaClaritaTacosySushi";"X.NAME_129.MastroTittaPub";"X.NAME_13.LaVecchiaLupiae";"X.NAME_130.FiordiFarinaPizzaShop";"X.NAME_131.PasticceriaBenedetto";"X.NAME_132.PLANETRoma";"X.NAME_133.SlotHouseEuropa";"X.NAME_134.SnackBar";"X.NAME_135.Palladiana";"X.NAME_136.CottoeMandato";"X.NAME_137.Shake";"X.NAME_138.Violarosso";"X.NAME_139.OnTheBurger";"X.NAME_14.JunseiRestaurantKaitenSushi";"X.NAME_140.SlurpGelateria";"X.NAME_141.SushiPing";"X.NAME_142.CafeBoario";"X.NAME_143.LaBotticella";"X.NAME_144.MammaRoma";"X.NAME_145.RistoranteGalu";"X.NAME_146.RistoranteallaMaisonLatina";"X.NAME_15.LoScopettaro";"X.NAME_16.RistoranteEritrea";"X.NAME_17.OsteriadegliAmici";"X.NAME_18.Ilnidogustoemiscele";"X.NAME_19.Pecorino";"X.NAME_2.Masto";"X.NAME_20.HostariadaEnzo";"X.NAME_21.PIZZERIAOSTIENSE";"X.NAME_22.PiattoRomano";"X.NAME_23.GelateriaLaRomana.Roma.viaOstiense";"X.NAME_24.TavernaVolpetti";"X.NAME_25.Molì";"X.NAME_26.TbspSpotTestaccio";"X.NAME_27.FeliceaTestaccio";"X.NAME_28.OsteriaFratelliMori";"X.NAME_29.PolpettaGazometro";"X.NAME_3.LaFataIgnorante";"X.NAME_30.PasticceriaAndreotti";"X.NAME_31.IlGrottino";"X.NAME_32.AssuntinaRistorante";"X.NAME_33.PasticceriaLinari";"X.NAME_34.RistorantePizzeriaAnticoFornoaTestaccio";"X.NAME_35.PizzeriadaRemo";"X.NAME_36.StazionediPosta";"X.NAME_37.BarGiolitti";"X.NAME_38.AiCocci";"X.NAME_39.NuovoMondo";"X.NAME_4.MordieVai";"X.NAME_40.TabernaPersiana";"X.NAME_41.AlicePizzaOstiense";"X.NAME_42.AugustarelloaTestaccio";"X.NAME_43.EnotecaDivinare";"X.NAME_44.Doppiozeroo";"X.NAME_45.DaBucatino";"X.NAME_46.LìArMonte";"X.NAME_47.IlSecchioel.Olivaro.Ostiense";"X.NAME_48.LaFraschettadiMastroGiorgio";"X.NAME_49.MakaiSurf.TikiBar";"X.NAME_5.Panna.Co";"X.NAME_50.Checchinodal1887";"X.NAME_51.TrattoriaPerilli";"X.NAME_52.MercatBistrot.OldBar";"X.NAME_53.Rec23RestaurantEmporioClub";"X.NAME_54.OasidellaBirra.EnotecaPalombi";"X.NAME_55.FlavioAlVelavevodetto";"X.NAME_56.Gazometro38";"X.NAME_57.CacioeCocci";"X.NAME_58.CrochonNoelJoseph";"X.NAME_59.OishiRestaurant";"X.NAME_6.TrapizzinoTestaccio";"X.NAME_60.IlPiccoloAlpino";"X.NAME_61.DaOioaCasaMia";"X.NAME_62.BancoFastFood";"X.NAME_63.PortoFluviale";"X.NAME_64.Ketumbar";"X.NAME_65.Giansanti";"X.NAME_66.TheMeatMarketTestaccio";"X.NAME_67.AlicePizzaTestaccio";"X.NAME_68.IlPizzettiere";"X.NAME_69.ContedeiCocci";"X.NAME_7.GelateriaBrivido";"X.NAME_70.LaTorricella";"X.NAME_71.PasticceriaZio";"X.NAME_72.LaCreperieDiTestaccio";"X.NAME_73.BlueIceGelato";"X.NAME_74.PastaeSpätzle";"X.NAME_75.LaDoganaFood";"X.NAME_76.CapitanPaninokSaporieTradizioniRegionali";"X.NAME_77.FoodBox";"X.NAME_78.ChihanaSushiRestaurant";"X.NAME_79.CakeSiGira";"X.NAME_8.Sushisen";"X.NAME_80.IlGianfornaio";"X.NAME_81.AngelinaCafe.";"X.NAME_82.PizzeriaRosticceriaOstiense10";"X.NAME_83.FraschettadaSandro";"X.NAME_84.LaBaguetteriaOstiense";"X.NAME_85.AngelinaaTestaccio";"X.NAME_86.ZoéMercatoTestaccio";"X.NAME_87.InCiboVeritas";"X.NAME_88.PachinoMonello";"X.NAME_89.AvePinsa";"X.NAME_9.IlPangocciolaio";"X.NAME_90.Banco21";"X.NAME_91.Trentatrétestaccio";"X.NAME_92.StritFud";"X.NAME_93.L.insalataRicca.Gazometro";"X.NAME_94.RisoRoma";"X.NAME_95.ThinkFarmer";"X.NAME_96.900";"X.NAME_97.RoadhouseGrill";"X.NAME_98.DolceSicilia";"X.NAME_99.PanificioiGuerrini";"X.NAME_DarBruttone.RomaSanGiovanni.";"X.NAME_Florian.s";"X.NAME_IlTempiodiMinerva";"X.NAME_RistoranteEstEstEst";"X.NAME_VIICoorte";"X.NAME_Viavaibarbistrot"
"così";12,99;6,1;0;0;0;0;0;0;13,7;0;0;8,4;0;0;0;0;0;0;8,2;3,05;0;0;0;0;0;11,9;0;9,35;0;10,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,58;0;0;0;0;0;14,81;6,62;3,51;0;9,09;0;6,9;4,37;10,47;0;0;8,4;0;0;0;0;0;0;0;5,29;0;0;0;10,42;0;0;0;0;0;0;0;0;11,63;0;0;0;0;6,41;0;0;7,35;0;0;11,63;23,44;8,81;0;0;0;0;0;0;0;0;0;12,74;0;0;0;0;0;8,47;4,74;0;0;7,3;0;10,75;0;0;0;7,09;0;0;6,85;0;0;8,2;0;13,16;0;0;0;0;6,58;6,67;0;0;0;0;0;0;0
"fritto";0;0;0;0;0;0;6,17;0;0;7,09;0;0;17,54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,04;0;0;0;0;0;7,94;0;0;0;0;0;0;0;0;4,37;0;0;0;0;0;8,7;0;7,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,7;0;0;0;0;0;0;6,8;5,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,95;9,48;7,94;0;0;0;0;0;0;0;3,55;0;9,01;0;0;13,33;0;0;13,16;0;0;0;0;0;6,67;0;0;22,39;0;0;0;0
"quasi";0;0;0;0;0;0;6,17;0;0;0;0;0;0;0;0;0;0;0;8,2;0;0;0;0;0;0;0;0;0;0;0;0;10,31;0;0;0;0;0;0;0;0;0;0;8,62;0;0;0;7,94;0;0;0;10,87;0;14,08;0;0;6,85;0;0;0;0;0;0;9,9;0;0;0;4,37;0;0;0;0;0;0;0;7,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,41;0;0;0;0;0;0;9,62;0;11,63;0;4,41;0;4,72;0;0;0;0;8,85;0;10,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,01;0;0;0;0;0;0;5,21;0;0;13,79;13,16;0;0;0;0;0;0;0;0
"minuto";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,94;0;0;0;0;0;0;0;0;0;0;0;0;7,41;0;0;0;0;0;0;8,73;0;0;0;0;0;8,7;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;7,41;0;0;0;0;17,14;0;0;0;0;0;0;0;4,72;0;0;0;0;0;0;0;0;0;0;0;0;0;8,47;0;0;0;0;0;0;0;9,9;0;0;0;0;0;7,41;0;0;0;0;0;7,19;0;0;0;0;0;0;0;0;0;0;6,85
"speciale";0;0;0;0;0;0;0;0;0;0;0;0;8,77;0;0;0;0;17,24;0;0;0;0;0;0;0;0;0;9,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,24;0;0;8,4;0;8,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,1;0
"forno";0;0;0;0;0;0;6,17;0;0;7,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,9;10,31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,87;0;0;0;0;0;0;0;0;0;0;3,51;0;0;0;0;0;0;0;0;0;0;0;0;14,08;0;0;0;0;8,93;0;0;5,21;0;0;0;0;0;0;0;0;0;0;7,41;0;0;0;0;0;0;0;0;0;0;0;0;9,43;0;0;0;0;0;9,52;0;0;0;0;0;0;0;0;0;0;0;0;8,85;0;0;0;0;0;0;0;6,85;0;13,33;0;0;0;0;0;0;0;0;13,33;0;0;0;0;0;0;6,85
"pecorino";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,29;0;9,71;0;0;0;0;0;20;0;0;7,63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,2;24,19;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"posto";0;6,1;0;0;0;0;6,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,41;0;0;0;0;0;0;0;0;11,63;0;0;0;0;0;0;0;0;0;0;0;0;0;9,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,16;0;0;0;0;0;0;0;3,21;7,46;0;0;0;0
"biscotto";0;0;0;0;0;0;0;0;0;14,18;0;0;0;0;0;0;8,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,9;0;0;0;0;0;0;0;6,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,08;0;0;0;0;0;0;0;0;0;8,85;10,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,67;0;0;0;0;0;0;0
"discreto";0;0;0;0;13,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,39;0;0;12,2;0;8,26;0;0;0;0;0;0;0;3,86;0;6,85;0;7,94;0;0;0;3,51;0;0;0;0;0;5,24;7,3;0;0;0;8,7;0;0;0;0;0;0;8,93;0;0;0;0;0;0;0;0;0;0;0;0;0;7,41;0;0;0;0;0;7,35;0;0;0;0;0;0;4,72;0;9,43;11,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,85;0;0;0;8,06;0;0;0;0;6,9;0;0;0;0;0;0;0;0;0
"piccolo";0;6,1;0;0;13,25;0;12,35;0;27,4;0;0;0;0;0;0;0;8,06;17,24;0;3,05;6,1;0;0;0;0;0;0;0;13,51;0;0;10,31;0;0;0;0;0;0;0;0;0;0;8,62;0;0;0;0;0;6,45;0;0;0;0;3,86;8;0;6,99;0;11,76;7,41;0;10,53;0;0;9,43;13,79;4,37;0;0;0;0;0;8,7;9,62;0;0;0;0;0;0;0;3,38;0;0;0;0;0;12,99;8,2;0;0;0;6,17;7,41;0;0;0;0;0;0;28,85;6,62;0;0;0;0;0;0;0;0;0;8,85;0;10,42;6,37;0;9,09;0;9,8;0;0;0;0;5,92;7,3;0;0;0;0;0;3,55;0;9,01;6,85;0;0;0;0;0;0;0;6,85;0;0;6,67;0;3,21;0;0;0;12,2;6,85
"soddisfare";0;0;0;9,09;0;0;0;0;0;0;0;8,4;0;0;0;0;8,06;0;0;3,05;0;0;0;0;0;0;0;0;0;0;0;0;0;9,01;0;0;0;0;0;0;0;0;0;0;21,74;0;7,94;0;6,45;0;0;0;0;0;0;0;0;0;0;0;13,25;0;0;0;9,43;6,9;4,37;0;0;0;0;0;0;0;7,04;0;0;0;5,29;0;0;0;0;0;0;5,65;0;0;0;7,63;0;0;0;0;0;0;0;0;0;0;0;0;0;7,81;0;0;4,72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,85;0;0;0;0;0;0;0;0;0;0;0;8,06;0;0;0;6,85;0;0;0;0;3,21;0;0;0;0;6,85
"pessimo";0;0;0;0;0;0;0;4,85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,26;0;0;0;0;0;0;0;0;0;0;0;8,33;0;0;0;0;0;0;0;0;10,87;0;7,04;0;0;0;0;0;0;0;0;0;9,9;0;0;0;0;0;0;0;0;0;0;0;0;0;6,45;0;5,29;0;0;0;10,42;0;0;0;10;0;0;7,63;0;0;0;0;0;4,22;0;0;5,71;7,35;0;0;0;0;0;0;9,43;0;0;0;0;0;0;0;12,74;0;0;0;0;0;0;0;7,94;0;0;0;0;0;0;0;7,09;0;0;0;0;0;8,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"presentare";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,24;0;0;0;0;0;0;0;0;0;0;0;0;0;10,31;0;0;0;0;0;0;0;0;0;0;0;12,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,04;0;0;0;0;4,37;0;0;0;0;0;8,7;0;0;0;6,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,21;7,46;0;0;12,2;0
"alto";0;6,1;0;0;0;0;0;0;0;7,09;0;0;8,77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,39;0;0;0;0;0;0;0;0;0;0;0;0;0;8,4;0;0;0;0;0;6,85;0;0;23,53;0;0;0;0;9,09;0;6,9;0;0;0;0;16,81;0;0;0;0;0;0;0;0;0;0;0;5,21;0;8,33;0;0;0;8,2;7,63;0;11,63;6,17;14,81;0;0;0;6,8;0;0;0;0;0;0;0;0;9,43;0;0;22,22;16,39;0;0;0;0;0;0;0;0;0;0;4,74;0;0;0;0;10,75;0;0;0;3,55;0;0;0;7,41;0;0;0;0;0;0;0;0;0;0;0;3,21;7,46;0;0;0;6,85
"probabilmente";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,42;0;0;0;0;0;0;7,3;0;0;0;0;0;7,09;0;0;0;0;0;8,2;0;0;0;0;0;0;13,16;0;0;0;0;0;0;0;0
"molto";0;6,1;10,53;18,18;13,25;25;18,52;14,56;41,1;14,18;37,97;50,42;8,77;32,26;53,57;0;24,19;34,48;57,38;18,29;24,39;20,27;32,26;0;32,26;23,81;0;18,69;67,57;10,75;35,71;30,93;25;18,02;17,7;48,78;36,14;83,33;33,9;32,26;48,78;16,67;0;12,2;65,22;33,06;7,94;29,85;6,45;8,4;21,74;14,08;7,04;0;16;13,7;41,96;31,75;0;0;26,49;7,02;19,8;9,09;9,43;6,9;26,2;41,88;14,6;19,42;42,02;33,9;26,09;0;28,17;27,27;19,35;0;37,04;17,86;0;20,27;10,42;30,61;41,67;39,55;0;25,97;24,59;22,9;17,39;0;24,69;0;66,67;16,88;25,64;20,41;0;22,06;9,62;13,25;23,26;7,81;13,22;21,43;4,72;33,61;18,87;11,11;32,79;8,85;0;0;0;14,08;0;20,83;29,41;24,1;0;18,96;15,87;5,92;0;35,4;21,51;60,61;0;28,17;14,18;15,5;9,01;6,85;22,22;0;0;24,19;13,16;31,25;21,58;20,55;20,69;26,32;13,33;14,81;9,62;14,93;52,17;17,54;18,29;13,7
"cucina";0;6,1;10,53;0;0;0;0;4,85;0;0;0;0;8,77;0;17,86;0;0;0;0;6,1;6,1;0;0;0;0;0;0;0;0;0;11,9;20,62;0;0;17,7;0;0;0;16,95;0;0;0;0;0;0;8,26;0;14,93;0;0;10,87;0;7,04;0;16;0;6,99;23,81;0;14,81;13,25;7,02;0;0;18,87;6,9;4,37;10,47;0;0;0;8,47;0;0;7,04;0;6,45;0;10,58;17,86;9,71;23,65;0;20,41;8,33;0;10;12,99;0;0;0;0;12,35;7,41;6,06;0;6,41;20,41;11,43;7,35;0;0;11,63;15,62;8,81;7,14;4,72;0;0;0;0;0;9,52;0;0;0;9,09;0;9,8;12,05;0;0;0;0;7,3;0;0;0;0;0;3,55;0;9,01;13,7;0;0;0;0;0;5,21;7,19;0;0;0;0;0;6,41;0;0;8,77;0;0
"hamburger";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,69;0;0;0;0;0;0;0;0;0;0;6,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,14;4,72;0;0;11,11;0;0;0;0;0;0;0;0;0;0;25,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,58;0;0;0;0;0;0;0;0
"ampio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,75;0;0;0;0;0;0;0;0;0;0;9,01;0;0;0;83,33;0;0;0;0;0;0;0;0;0;0;19,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,87;0;0;0;5,21;0;0;0;0;12,99;8,2;7,63;0;0;6,17;0;0;4,22;6,41;0;0;0;0;19,87;0;0;0;7,14;0;8,4;0;0;0;0;0;0;0;0;0;31,25;0;6,02;0;0;0;0;0;0;0;0;0;42,25;0;0;0;0;7,41;0;0;8,06;0;0;0;0;0;6,58;0;7,41;0;7,46;0;0;12,2;0
"positivo";0;0;0;0;6,62;0;0;4,85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,05;0;0;0;0;0;0;0;0;0;0;0;6,45;8,4;0;0;0;3,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,71;0;0;0;0;0;0;0;9,43;0;0;11,11;0;0;0;0;0;0;0;10,42;9,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,21;0;6,85;0;0;0;0;0;0;0;0;12,2;0
"preferire";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,24;8,2;3,05;0;0;0;0;0;0;0;0;0;0;0;0;8,33;0;0;24,39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6,85;0;0;0;0;0;3,51;0;0;0;0;0;0;7,3;0;0;0;0;0;0;0;6,45;0;0;0;0;0;0;10,2;0;0;0;0;0;0;8,7;0;0;0;0;4,22;6,41;6,8;0;0;0;0;0;0;0;0;0;0;9,43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"esterno";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,06;0;0;0;0;0;0;6,67;0;0;0;0;0;6,1;20,55
"magari";0;0;0;0;0;0;0;0;0;0;0;8,4;0;0;0;0;0;0;0;3,05;0;0;0;9,48;0;0;0;9,35;0;0;0;0;8,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,45;0;0;0;0;0;0;0;0;0;0;0;0;7,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,58;0;0;0;0;0;0;0;0;0;0;0;0;0
"pietanza";0;0;10,53;9,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,86;0;0;0;0;0;0;0;3,51;0;0;0;0;4,37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,72;0;0;0;0;0;19,05;0;0;0;0;0;0;12,05;0;0;0;0;7,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,41;0;0;0;6,1;6,85
"rendere";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,2;0;0;0;0;0;0;9,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,71;0;0;0;0;0;0;0;0;0;0;0;3,38;5,21;0;0;0;0;0;0;0;0;0;0;0;0;0;6,41;0;0;0;9,62;0;0;0;8,81;0;4,72;0;0;0;0;0;0;0;0;0;0;10,42;0;0;0;0;0;5,92;0;0;0;0;0;0;0;0;0;0;7,41;0;0;0;0;0;0;6,85;0;6,58;0;0;0;0;0;0;6,1;0
"can";0;0;0;0;26,49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,05;0;0;15,87;0;7,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,19;0;0;0;0;0;0;0;0;0;0;0
"scegliere";0;0;0;18,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,2;0;0;0;0;0;16,13;0;0;0;0;0;0;20,62;0;9,01;0;0;0;0;0;0;0;0;0;0;0;8,26;0;14,93;0;8,4;0;7,04;0;0;0;6,85;0;0;0;0;0;0;19,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,38;5,21;0;0;0;0;0;8,2;0;0;0;0;0;0;4,22;0;0;0;0;0;0;0;0;0;7,14;0;0;0;0;0;17,7;0;0;0;0;0;0;0;0;0;14,22;7,94;0;0;0;10,75;0;0;0;0;7,75;0;0;0;0;0;8,06;0;0;0;0;0;0;0;7,41;3,21;7,46;0;0;6,1;0
"scarso";0;0;0;0;0;0;0;0;0;0;0;0;26,32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,42;6,37;0;0;0;0;0;0;0;0;0;0;8,85;0;0;0;0;0;0;0;6,85;0;0;0;8,06;0;0;7,19;0;0;0;0;0;0;0;0;0;0;0
"prenotazione";0;0;0;0;0;0;0;0;0;0;0;0;0;10,75;0;0;0;0;0;6,1;0;0;0;9,48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,18;6,45;0;0;0;0;0;0;0;0;0;0;0;0;0;8,7;0;0;0;0;0;0;6,8;0;7,35;0;6,62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,6;0;0;0;0;0;3,55;0;0;0;0;0;0;0;0;5,21;0;0;0;0;0;0;0;0;0;0;0;0
"domenica";12,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,86;0;0;0;0;0;0;0;0;0;0;0;0;0;5,24;0;0;0;0;0;19,23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,63;0;0;0;0;0;4,22;0;0;0;0;0;0;0;0;0;0;0;8,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,09;0;0;0;0;0;0;0;0;0;0;0;6,9;13,16;0;0;0;0;0;0;0;0
